#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	313836223	COUNT	subsecond	seconds	0.109802	0.007000	0.266336	0.000000
exponential2	42	313836223	COUNT	subsecond	minutes	0.012434	0.002500	0.038764	0.000000
exponential2	42	313836223	COUNT	subsecond	hours	0.001578	0.064992	0.005764	0.000000
exponential2	42	313836223	COUNT	subsecond	days	0.000352	0.005500	0.001136	0.000000
exponential2	42	313836223	COUNT	subsecond	months	0.000031	0.006000	0.000266	0.000000
exponential2	42	313836223	COUNT	subsecond	years	0.000000	0.124000	0.000000	0.000000
exponential2	42	313836223	COUNT	seconds	seconds	0.082794	0.001500	0.867723	0.000000
exponential2	42	313836223	COUNT	seconds	minutes	0.011634	0.001500	0.032484	0.000000
exponential2	42	313836223	COUNT	seconds	hours	0.001804	0.001500	0.006051	0.000000
exponential2	42	313836223	COUNT	seconds	days	0.000240	0.001499	0.000862	0.000000
exponential2	42	313836223	COUNT	seconds	months	0.000031	0.001492	0.000266	0.000000
exponential2	42	313836223	COUNT	seconds	years	0.000000	0.001000	0.000000	0.000000
exponential2	42	313836223	COUNT	minutes	seconds	0.205406	0.001500	1.102722	0.000000
exponential2	42	313836223	COUNT	minutes	minutes	0.027181	0.001500	0.095558	0.000000
exponential2	42	313836223	COUNT	minutes	hours	0.001803	0.001499	0.007202	0.000000
exponential2	42	313836223	COUNT	minutes	days	0.000413	0.001500	0.001180	0.000000
exponential2	42	313836223	COUNT	minutes	months	0.000030	0.001500	0.000266	0.000000
exponential2	42	313836223	COUNT	hours	seconds	0.163729	0.001500	1.122841	0.000000
exponential2	42	313836223	COUNT	hours	minutes	0.024037	0.001500	0.115266	0.000000
exponential2	42	313836223	COUNT	hours	hours	0.003224	0.000500	0.016236	0.000000
exponential2	42	313836223	COUNT	hours	days	0.000445	0.001500	0.001443	0.000000
exponential2	42	313836223	COUNT	hours	months	0.000050	0.001495	0.000258	0.000000
exponential2	42	313836223	COUNT	days	seconds	0.234886	0.001500	1.122769	0.000000
exponential2	42	313836223	COUNT	days	minutes	0.022881	0.001500	0.118635	0.000000
exponential2	42	313836223	COUNT	days	hours	0.005653	0.001500	0.022134	0.000000
exponential2	42	313836223	COUNT	days	days	0.000911	0.001500	0.003409	0.000000
exponential2	42	313836223	COUNT	days	months	0.000132	0.001995	0.000378	0.000000
exponential2	42	313836223	COUNT	months	seconds	0.120838	0.001500	1.123595	0.000000
exponential2	42	313836223	COUNT	months	minutes	0.024654	0.001500	0.118777	0.000000
exponential2	42	313836223	COUNT	months	hours	0.005491	0.001999	0.022581	0.000000
exponential2	42	313836223	COUNT	months	days	0.000762	0.001500	0.004461	0.000000
exponential2	42	313836223	COUNT	months	months	0.000081	0.000500	0.000887	0.000000
exponential2	42	313836223	COUNT	years	seconds	0.495024	0.001000	2.000000	0.000000
exponential2	42	313836223	SUM	subsecond	seconds	0.097540	0.093990	0.032740	0.000000
exponential2	42	313836223	SUM	subsecond	minutes	0.013887	0.120993	0.001793	0.000000
exponential2	42	313836223	SUM	subsecond	hours	0.001189	0.120493	0.000118	0.000000
exponential2	42	313836223	SUM	subsecond	days	0.000353	0.095988	0.000010	0.000000
exponential2	42	313836223	SUM	subsecond	months	0.000047	0.121994	0.000001	0.000000
exponential2	42	313836223	SUM	subsecond	years	0.000000	0.067000	0.000000	0.000000
exponential2	42	313836223	SUM	seconds	seconds	0.133862	0.001488	0.067104	0.000000
exponential2	42	313836223	SUM	seconds	minutes	0.012335	0.001494	0.001296	0.000000
exponential2	42	313836223	SUM	seconds	hours	0.001269	0.001500	0.000101	0.000000
exponential2	42	313836223	SUM	seconds	days	0.000241	0.001500	0.000010	0.000000
exponential2	42	313836223	SUM	seconds	months	0.000047	0.001498	0.000001	0.000000
exponential2	42	313836223	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	42	313836223	SUM	minutes	seconds	0.275188	0.001495	0.080276	0.000000
exponential2	42	313836223	SUM	minutes	minutes	0.025862	0.001494	0.002227	0.000000
exponential2	42	313836223	SUM	minutes	hours	0.001506	0.001488	0.000111	0.000000
exponential2	42	313836223	SUM	minutes	days	0.000446	0.001497	0.000010	0.000000
exponential2	42	313836223	SUM	minutes	months	0.000046	0.001500	0.000001	0.000000
exponential2	42	313836223	SUM	hours	seconds	0.227352	0.001500	0.081531	0.000000
exponential2	42	313836223	SUM	hours	minutes	0.028023	0.001488	0.002765	0.000000
exponential2	42	313836223	SUM	hours	hours	0.004418	0.001500	0.000169	0.000000
exponential2	42	313836223	SUM	hours	days	0.000445	0.001499	0.000010	0.000000
exponential2	42	313836223	SUM	hours	months	0.000065	0.002499	0.000001	0.000000
exponential2	42	313836223	SUM	days	seconds	0.408096	0.001500	0.081803	0.000000
exponential2	42	313836223	SUM	days	minutes	0.027020	0.001500	0.002814	0.000000
exponential2	42	313836223	SUM	days	hours	0.005650	0.001500	0.000234	0.000000
exponential2	42	313836223	SUM	days	days	0.001066	0.001500	0.000015	0.000000
exponential2	42	313836223	SUM	days	months	0.000135	0.001494	0.000001	0.000000
exponential2	42	313836223	SUM	months	seconds	0.238112	0.001500	0.109822	0.000000
exponential2	42	313836223	SUM	months	minutes	0.035332	0.001500	0.002818	0.000000
exponential2	42	313836223	SUM	months	hours	0.006672	0.001497	0.000236	0.000000
exponential2	42	313836223	SUM	months	days	0.000986	0.001495	0.000021	0.000000
exponential2	42	313836223	SUM	months	months	0.000176	0.000500	0.000002	0.000000
exponential2	42	313836223	SUM	years	seconds	0.984668	0.000000	2.000000	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	seconds	0.136297	0.000500	0.319692	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	minutes	0.013692	0.000500	0.037801	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	hours	0.001682	0.000500	0.004933	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	days	0.000146	0.001000	0.000963	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	months	0.000018	0.000000	0.000125	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
