#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
exponential2	43	313814094	COUNT	subsecond	seconds	0.017496	0.008288	0.073854	0.000000
exponential2	43	313814094	COUNT	subsecond	minutes	0.002270	0.010237	0.009828	0.000000
exponential2	43	313814094	COUNT	subsecond	hours	0.000586	0.034826	0.002196	0.000000
exponential2	43	313814094	COUNT	subsecond	days	0.000084	0.006241	0.000351	0.000000
exponential2	43	313814094	COUNT	subsecond	months	0.000013	0.002455	0.000100	0.000000
exponential2	43	313814094	COUNT	subsecond	years	0.000000	0.077000	0.000000	0.000000
exponential2	43	313814094	COUNT	seconds	seconds	0.050739	0.000260	0.204085	0.000000
exponential2	43	313814094	COUNT	seconds	minutes	0.002257	0.000338	0.010608	0.000000
exponential2	43	313814094	COUNT	seconds	hours	0.000575	0.000489	0.002200	0.000000
exponential2	43	313814094	COUNT	seconds	days	0.000085	0.000513	0.000351	0.000000
exponential2	43	313814094	COUNT	seconds	months	0.000013	0.000501	0.000100	0.000000
exponential2	43	313814094	COUNT	seconds	years	0.000000	0.001000	0.000000	0.000000
exponential2	43	313814094	COUNT	minutes	seconds	0.063678	0.000251	0.315427	0.000000
exponential2	43	313814094	COUNT	minutes	minutes	0.004064	0.000304	0.021805	0.000000
exponential2	43	313814094	COUNT	minutes	hours	0.000591	0.000346	0.002275	0.000000
exponential2	43	313814094	COUNT	minutes	days	0.000082	0.000304	0.000362	0.000000
exponential2	43	313814094	COUNT	minutes	months	0.000013	0.000260	0.000100	0.000000
exponential2	43	313814094	COUNT	hours	seconds	0.067128	0.000203	0.323497	0.000000
exponential2	43	313814094	COUNT	hours	minutes	0.006935	0.000173	0.035917	0.000000
exponential2	43	313814094	COUNT	hours	hours	0.000964	0.000089	0.004404	0.000000
exponential2	43	313814094	COUNT	hours	days	0.000090	0.000243	0.000405	0.000000
exponential2	43	313814094	COUNT	hours	months	0.000011	0.001004	0.000099	0.000000
exponential2	43	313814094	COUNT	days	seconds	0.057324	0.000239	0.323845	0.000000
exponential2	43	313814094	COUNT	days	minutes	0.008769	0.000205	0.037763	0.000000
exponential2	43	313814094	COUNT	days	hours	0.001641	0.000258	0.006979	0.000000
exponential2	43	313814094	COUNT	days	days	0.000171	0.000159	0.000778	0.000000
exponential2	43	313814094	COUNT	days	months	0.000019	0.000771	0.000119	0.000000
exponential2	43	313814094	COUNT	months	seconds	0.045745	0.000231	0.323832	0.000000
exponential2	43	313814094	COUNT	months	minutes	0.007446	0.000339	0.037833	0.000000
exponential2	43	313814094	COUNT	months	hours	0.001670	0.000972	0.007348	0.000000
exponential2	43	313814094	COUNT	months	days	0.000211	0.000361	0.001240	0.000000
exponential2	43	313814094	COUNT	months	months	0.000040	0.002818	0.000254	0.000000
exponential2	43	313814094	COUNT	years	seconds	0.495025	0.001000	2.000000	0.000000
exponential2	43	313814094	SUM	subsecond	seconds	0.020118	0.000034	0.007659	0.000000
exponential2	43	313814094	SUM	subsecond	minutes	0.002679	0.000102	0.000342	0.000000
exponential2	43	313814094	SUM	subsecond	hours	0.000477	0.000522	0.000031	0.000000
exponential2	43	313814094	SUM	subsecond	days	0.000091	0.000310	0.000002	0.000000
exponential2	43	313814094	SUM	subsecond	months	0.000015	0.000727	0.000000	0.000000
exponential2	43	313814094	SUM	subsecond	years	0.000000	0.139000	0.000000	0.000000
exponential2	43	313814094	SUM	seconds	seconds	0.061672	0.000144	0.045394	0.000000
exponential2	43	313814094	SUM	seconds	minutes	0.002511	0.000161	0.000361	0.000000
exponential2	43	313814094	SUM	seconds	hours	0.000476	0.000178	0.000031	0.000000
exponential2	43	313814094	SUM	seconds	days	0.000091	0.000192	0.000002	0.000000
exponential2	43	313814094	SUM	seconds	months	0.000015	0.000622	0.000000	0.000000
exponential2	43	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	43	313814094	SUM	minutes	seconds	0.080372	0.000151	0.048293	0.000000
exponential2	43	313814094	SUM	minutes	minutes	0.004369	0.000077	0.000533	0.000000
exponential2	43	313814094	SUM	minutes	hours	0.000503	0.000228	0.000031	0.000000
exponential2	43	313814094	SUM	minutes	days	0.000086	0.000201	0.000002	0.000000
exponential2	43	313814094	SUM	minutes	months	0.000015	0.000216	0.000000	0.000000
exponential2	43	313814094	SUM	hours	seconds	0.094221	0.000148	0.048481	0.000000
exponential2	43	313814094	SUM	hours	minutes	0.007601	0.000302	0.000669	0.000000
exponential2	43	313814094	SUM	hours	hours	0.000824	0.000206	0.000045	0.000000
exponential2	43	313814094	SUM	hours	days	0.000087	0.000282	0.000002	0.000000
exponential2	43	313814094	SUM	hours	months	0.000016	0.000972	0.000000	0.000000
exponential2	43	313814094	SUM	days	seconds	0.081182	0.000237	0.048489	0.000000
exponential2	43	313814094	SUM	days	minutes	0.009687	0.000245	0.000683	0.000000
exponential2	43	313814094	SUM	days	hours	0.001705	0.000399	0.000055	0.000000
exponential2	43	313814094	SUM	days	days	0.000200	0.000340	0.000003	0.000000
exponential2	43	313814094	SUM	days	months	0.000022	0.000680	0.000000	0.000000
exponential2	43	313814094	SUM	months	seconds	0.053467	0.000129	0.048489	0.000000
exponential2	43	313814094	SUM	months	minutes	0.008049	0.000140	0.000683	0.000000
exponential2	43	313814094	SUM	months	hours	0.001657	0.000245	0.000057	0.000000
exponential2	43	313814094	SUM	months	days	0.000258	0.000339	0.000004	0.000000
exponential2	43	313814094	SUM	months	months	0.000048	0.000258	0.000001	0.000000
exponential2	43	313814094	SUM	years	seconds	0.984669	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	seconds	0.023825	0.000017	0.110802	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	minutes	0.001679	0.000068	0.008951	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	hours	0.000277	0.000087	0.001225	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	days	0.000040	0.000000	0.000176	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	months	0.000007	0.000091	0.000038	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	seconds	0.051314	0.000020	0.221117	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	minutes	0.001776	0.000025	0.009877	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	hours	0.000273	0.000032	0.001247	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	days	0.000041	0.000039	0.000176	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	months	0.000007	0.000037	0.000038	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
