#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	329573348	COUNT	subsecond	seconds	0.164427	0.001500	0.619840	0.000000
exponential2	42	329573348	COUNT	subsecond	minutes	0.074702	0.004500	0.602461	0.000000
exponential2	42	329573348	COUNT	subsecond	hours	0.039530	0.000000	0.404066	0.000000
exponential2	42	329573348	COUNT	subsecond	days	0.019154	0.001000	0.137448	0.000000
exponential2	42	329573348	COUNT	subsecond	months	0.008259	0.001000	0.017270	0.000000
exponential2	42	329573348	COUNT	subsecond	years	0.000000	0.090000	0.000002	0.000000
exponential2	42	329573348	COUNT	seconds	seconds	0.421975	0.001499	1.999920	0.000000
exponential2	42	329573348	COUNT	seconds	minutes	0.068167	0.001499	0.647471	0.000000
exponential2	42	329573348	COUNT	seconds	hours	0.033208	0.001499	0.391518	0.000000
exponential2	42	329573348	COUNT	seconds	days	0.017586	0.001499	0.132907	0.000000
exponential2	42	329573348	COUNT	seconds	months	0.008263	0.002495	0.017270	0.000000
exponential2	42	329573348	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	42	329573348	COUNT	minutes	seconds	283.111484	0.001500	1.999956	0.000000
exponential2	42	329573348	COUNT	minutes	minutes	0.349873	0.001499	1.999906	0.000000
exponential2	42	329573348	COUNT	minutes	hours	0.047103	0.001500	0.488940	0.000000
exponential2	42	329573348	COUNT	minutes	days	0.017668	0.001500	0.134045	0.000000
exponential2	42	329573348	COUNT	minutes	months	0.008244	0.001500	0.017263	0.000000
exponential2	42	329573348	COUNT	hours	seconds	44.267123	0.002500	2.000000	0.000000
exponential2	42	329573348	COUNT	hours	minutes	0.512829	0.001500	1.999930	0.000000
exponential2	42	329573348	COUNT	hours	hours	0.084455	0.001500	1.523917	0.000000
exponential2	42	329573348	COUNT	hours	days	0.018528	0.001500	0.134618	0.000000
exponential2	42	329573348	COUNT	hours	months	0.008012	0.002500	0.017088	0.000000
exponential2	42	329573348	COUNT	days	seconds	294.227703	0.000500	2.000000	0.000000
exponential2	42	329573348	COUNT	days	minutes	1.815262	0.002500	2.000000	0.000000
exponential2	42	329573348	COUNT	days	hours	18457.971149	0.002500	1.787512	0.000000
exponential2	42	329573348	COUNT	days	days	0.043483	0.001496	0.310000	0.000000
exponential2	42	329573348	COUNT	days	months	0.006988	0.002494	0.035523	0.000000
exponential2	42	329573348	COUNT	months	seconds	439.062935	0.001500	2.000000	0.000000
exponential2	42	329573348	COUNT	months	minutes	17213.398037	0.001500	2.000000	0.000000
exponential2	42	329573348	COUNT	months	hours	18781.246818	0.003495	1.759658	0.000000
